Name,Functional Group,Default
Bleached Partial Platygyra Sub-Massive,Hard coral,BlPtPlatSM
Bleached Partial Plesiastrea Encrusting,Hard coral,BlPtPleEn
Bleached Partial Pocillopora Branching,Hard coral,BlPtPocBr
Bleached Partial Porites Encrusting,Hard coral,BlPtPorEnc
Bleached Partial Porites Sub-Massive,Hard coral,BlPtPorSM
Bleached Partial Seriatopora Branching,Hard coral,BlPtSerBr
Bleached Partial Stony Coral Encrusting,Hard coral,BlPtCorEnc
Bleached Partial Syphyliia Encrusting,Hard coral,BlPtSyphEn
Bleached Partial Turbinaria Encrusting,Hard coral,BlPtTurbEn
Bleached Partial Turbinaria Foliose,Hard coral,BlPTurbFol
Bleached Patial Goniastrea Sub-massive,Hard coral,BlPtGoniSM
Bleached Patial Goniopora Sub-massive,Hard coral,BlPtGonSM
Bleached Patial Heteropsammia cochlea,Hard coral,BlPtHetcFL
Bleached Pavona,Hard coral,B_Pavona
Bleached Pavona duerdeni,Hard coral,BLPDUE
Bleached Pavona Sub-Massive,Hard coral,BlPavSM
Bleached Pavona varians,Hard coral,BLPVAR
Bleached Pectinia,Hard coral,B_Pec
Bleached Pectinia - unidentified plating,Hard coral,B_PEC-UP
Bleached Physogyra,Hard coral,Bphyso
Bleached Platygyra,Hard coral,B_Plat
Bleached Platygyra Encrusting,Hard coral,BlPlatEnc
Bleached Platygyra ryukyuensis,Hard coral,B_Pryu
Bleached Platygyra Sub-Massive,Hard coral,BlPlatSM
Bleached Plesiastrea,Hard coral,B_Ples
Bleached Pocillopora,Hard coral,B_Pocillo
Bleached Pocillopora (branching),Hard coral,B_Poc_bran
Bleached Pocillopora damacornis,Hard coral,BPDAM
Bleached Pocillopora damicornis,Hard coral,B_PocDam
Bleached Pocillopora grandis (eydouxi),Hard coral,B_PocGran
Bleached Pocillopora ligulata,Hard coral,B_PocLig
Bleached Pocillopora meandrina,Hard coral,B_PocMean
Bleached Podabacia Foliose,Hard coral,BlPodFol
Bleached Porites,Hard coral,B_Porit
Bleached Porites astreoides,Hard coral,B_PAST
Bleached Porites brighami,Hard coral,BLPBRI
Bleached Porites compressa,Hard coral,B_PorComp
Bleached Porites cylindrica,Hard coral,B_Pcyl
Bleached Porites Encrusting,Hard coral,BlPorEnc
Bleached Porites encrusting-plates,Hard coral,POR_EP_B
Bleached Porites lobata,Hard coral,BLPLOB
Bleached Porites (massive),Hard coral,B_Por_mass
Bleached Porites nodular brnaches,Hard coral,POR_NOD_B
Bleached Porites Sub-Massive,Hard coral,BlPorSM
Bleached Poritidae branching,Hard coral,POR_BRA_B
Bleached Psammocora,Hard coral,B_Psam
Bleached Pseudodiploria strigosa,Hard coral,BL_PseuStr
Bleached Pt Blastomussa Sub-Massive,Hard coral,BlPtBlasSM
Bleached Pt Coscinarea Sub-Massive,Hard coral,BlPtCoscSM
Bleached Sandolitha,Hard coral,B_Sando
Bleached Seratiopora hystrix,Hard coral,B_Shys
Bleached Seriatopora,Hard coral,BlSeri
Bleached Seriatopora Branching,Hard coral,BlSerBr
Bleached Siderastrea,Hard coral,B_SID
Bleached Siderastreidae,Hard coral,BSider
Bleached Stony Coral Encrusting,Hard coral,BlCorEnc
Bleached Stylocoeniella,Hard coral,BStyloco
Bleached Stylophora,Hard coral,B_Styloph
Bleached Stylophora pistillata,Hard coral,B_StPis
Bleached Stylophora pistillata (partial),Hard coral,B_StPis-pa
Bleached Stylophora pistillata (total),Hard coral,B_Stpis-to
Bleached Symphyllia,Hard coral,bsymph
Bleached Syphyliia Encrusting,Hard coral,BlSyphEnc
Bleached Tubastrea,Hard coral,B_Tuba
Bleached Turbinarea,Hard coral,B_TURB
Bleached Turbinaria Encrusting,Hard coral,BlTurbEn
Bleached Turbinaria Foliose,Hard coral,BlTurbFol
Bleaching,Hard coral,BLC
Bleaching encrusting Montipora,Hard coral,B_MOEN
Bleaching Favia speciosa,Hard coral,B_FaviaS
Bleaching Favites halicora,Hard coral,B_FavHal
Bleaching foliose Montipora,Hard coral,B_MOFO
Bleaching Goniastrea edwardsi,Hard coral,B_GonEd
Bleaching Goniastrea stelligera,Hard coral,B_GonStell
Bleaching Herpolitha,Hard coral,B_Herpo
Bleaching Hydnophora,Hard coral,B_HYDNO
Bleaching Hydnophora Exesa,Hard coral,B_HyExe
Bleaching Leptastrea,Hard coral,B_Lepta
Bleaching leptoseris,Hard coral,B_Lepto
Bleaching Montastraea,Hard coral,B_Monta
Bleaching Other corals,Hard coral,BlOC
Bleaching Palythoa,Hard coral,B_Paly
Bleaching Pavona duerdeni,Hard coral,B_PaveDUER
Bleaching Pavona varians,Hard coral,B_PVAR
Bleaching Unknown Hard Coral,Hard coral,B_UnkCoral
Boulder.,Hard coral,BOULD
BRA: Acropora Bottlebrush,Hard coral,BRA_BOT_Ac
BRA: Isopora,Hard coral,BRA_LRG_I
Branching Acropora - Healthy,Hard coral,BA
Branching bleached,Hard coral,BRA_BLC
Branching Coral,Hard coral,BRANCH
BRA: Other,Hard coral,BRA_OTH
BRA: Other Bleached (white),Hard coral,BRA_OTH-B*
Bryozoa: Hard:Branching,Hard coral,BHBr
Bryozoa: Hard: Branching: Adenolopsis sp.,Hard coral,BHBAS
Bryozoa: Hard: Fenestrate: Adeona grisea,Hard coral,BHFAG
Bryozoa: Hard: Fenestrate: Fenestrate Bryozoa,Hard coral,BHFFB
Bryozoa: Hard: Massive: Celleporaria,Hard coral,BHMC
Bryozoa: Soft:Dendroid,Hard coral,BSDr
Bryozoa: Soft: Dendroid: Flustridae,Hard coral,BSDF
Bryozoa: Soft: Foliaceous:,Hard coral,FSB
Bubble Coral,Hard coral,MASE_MEA_P
Cantharellus,Hard coral,Canth
Catalaphyllia,Hard coral,Catala
Caulastrea,Hard coral,Caula
Caulastrea_massive,Hard coral,caumas
C_BR,Hard coral,C_BR
C_BR_ACR,Hard coral,C_BR_ACR
C_BR_ACR_B,Hard coral,C_BR_ACR_B
